"","X0DP1","X0DP2","X0DP3","X1DP1","X1DP2","X1DP3","X3DP1","X3DP2","X3DP3","X7DP1","X7DP2","X7DP3","X0DA1","X0DA2","X0DA3","X1DA1","X1DA2","X1DA3","X3DA1","X3DA2","X3DA3","X7DA1","X7DA2","X7DA3","PC1","PC2","PC3","pc1.change","pc2.change"
"32.534/2008.66234531526",1369901,1370576,1433480,1936795,2364844,2410046,2485173,2617595,2948975,3163451,3499883,3046784,88176,88176,88176,267596,88176,176352,233244,290758,176758,207849,603141,364792,-0.156951281356052,0.0670136131652635,0.286998666072554,"DOWN","none"
"7.379/1118.3872",9860504,8954108,9790568,9674412,9272920,8897949,10335750,8813285,8966926,10329792,8856541,8254133,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,4127066.5,-0.0908686581134187,-0.0512464645763287,0.025091376076036,"DOWN","none"
"7.791/1134.208",1551652,1521367,1465641,2268648,2108999,1906868,2645457,2226827,2386980,3063491,2827585,2420476,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,732820.5,-0.105775365079222,0.0775527200649661,-0.00531953789238472,"DOWN","none"
"8.483/1160.7808",19722687,17415500,20615479,20476514,19458774,19661809,20452695,18331566,19628513,20753202,17906599,17968163,8707750,8707750,8707750,8707750,8707750,8707750,8707750,8707750,8707750,8707750,8707750,8707750,-0.0901063762692872,-0.0449654007078764,0.0245927263108397,"DOWN","none"
"8.896/1176.64",3584564,3007759,3543947,3854972,3647392,3297312,3746019,3456575,3395052,3594524,3130617,3140424,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,1503879.5,-0.0917904799868491,-0.0445912982234723,0.0249527089965228,"DOWN","none"
"9.679/1205.86545278161",6882296,6055681,6162948,8293851,7951924,6409791,6855617,6018915,6933554,8957684,7457934,7664708,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,3009457.5,-0.0938150934442838,-0.0052034963589387,0.0125667407078474,"DOWN","none"
"10.384/1229.53994253946",250000,367516,517255,764140,578636,502341,693488,700868,736095,1583621,1302487,1134429,50000,50000,30000,50000,30000,30000,50000,70000,80000,1e+05,60000,60000,-0.162015170507429,0.0914015678409116,0.0606519698261225,"DOWN","UP"
"20.574/1564.91505447437",720000,729000,930000,1035000,1130154,1030985,1540000,1074221,1500000,1361190,1226787,1886846,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,-0.108712595532228,0.0900259385521481,-0.0134250721978857,"DOWN","UP"
"21.413/1593.05296039708",361698.5,361698.5,361698.5,1057184,1028631,723397,1350879,1076750,1408638,1470771,1148281,1816685,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,361698.5,-0.0907684011000509,0.258142614075514,-0.0511375022287894,"DOWN","UP"
"22.124/1617.7648611349",1947871,1660727,1763917,2974696,2550647,2832266,3445710,3007247,3236266,4313368,3842714,4328513,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,830363.5,-0.113217878024143,0.111285706172445,-0.0156553147824261,"DOWN","UP"
