uniqueID,DPD0R1,DPD0R2,DPD0R3,DPD1R1,DPD1R2,DPD1R3,DPD3R1,DPD3R2,DPD3R3,DPD7R1,DPD7R2,DPD7R3,DAD0R1,DAD0R2,DAD0R3,DAD1R1,DAD1R2,DAD1R3,DAD3R1,DAD3R2,DAD3R3,DAD7R1,DAD7R2,DAD7R3
66,300000,350000,250000,704883,260496,775592,878958,632894,415227,1002870,885459,960263,0,0,0,0,0,0,0,0,0,0,0,0
67,3479694,2659661,2894225,4600044,3856339,3816491,4755038,3811532,3793364,4677674,4132821,4233912,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,927423,1096370,1041791,1000687,1169032,742760,1297163,1461055,1215001,0,0,0,0,0,0,0,0,0,0,0,0
69,951536,536430,520405,975938,807867,1008495,786785,823972,631484,1210186,1400957,1395138,0,0,0,0,0,0,0,0,0,0,0,0
70,830000,715000,635000,1100000,980000,1113000,1200000,990000,1180000,1050000,1170000,1939213,0,0,0,0,0,0,0,0,0,0,0,0
71,1240000,1050000,945000,1600000,1400000,1669500,1850000,1480000,1700000,1500000,1750000,1429169,0,0,0,0,0,0,0,0,0,0,0,0
72,4270284,3364937,3102334,4743495,4680112,4853861,4824822,3957108,4549598,3605456,3318604,4019941,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,288502,481319,400000,535410,300000,444689,472953,518328,833786,0,0,0,0,0,0,0,0,0,0,0,0
74,550615,650000,786860,1989596,1757931,2195395,1782106,1846077,2262328,2061565,2033929,2285935,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95200,0,0,0,0,0,0,0
76,1076203,832026,1203669,1959412,1804868,2262710,2123137,1964055,1985132,2352617,2150747,2013324,0,0,0,0,0,0,0,0,0,0,0,0
77,1469047,1003242,1329883,1294792,1359848,1138044,1462066,1238504,1178937,1380303,1204335,1099615,0,0,0,0,0,0,0,0,0,0,0,0
78,2255927,1776884,1807824,1982645,1730232,1883394,2538636,2197900,2086260,2703424,2261408,2485661,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,642319,714578,641539,760023,437381,666250,0,0,0,0,0,0,0,0,0,0,0,0
80,1369901,1370576,1433480,1936795,2364844,2410046,2485173,2617595,2948975,3163451,3499883,3046784,0,0,0,267596,0,176352,233244,290758,176758,207849,603141,364792
81,0,0,0,0,0,0,0,0,0,0,0,0,74368,64377,650000,568769,1073431,1221559,870570,883828,794791,1211901,1066342,923768
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
