"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"X0DA3",8.50270223192547,0.127727645721737,-1.74492751651781,0.191226991724986,0.368714660943175,0.150440095176751,0.895297127492822,-0.238327888597931,0.621270731183444,-0.54983696871798,0.143474142257557,0.0167606185112326,-0.172473406467061,-0.722617879903913,-0.134008936031447,-0.124485279832493,0.856107854062555,0.169992808177404,0.184742882292579,-0.127373519100765,0.0167531221970889,-0.138839951333335,-0.124947432446396,8.36830604811212e-15
"X1DA1",8.39459136449236,0.262353560703676,0.256514945956548,-1.65576368114682,-0.119743755225644,-0.0365474509512436,-0.463072458933153,1.31635523452723,-1.59760683490978,-0.17025207052429,0.364753659074062,0.101196898741917,-0.465672469015677,-0.228384617296656,0.0785491622997431,-0.0395167210443568,0.205935585825352,0.0269804496178493,0.0486613760775028,-0.037993777647214,-0.0810464119000363,0.0186589664935027,-0.0434245797844888,8.39606162372775e-15
"X1DA2",8.67617292250385,0.228122186307192,0.882563034851466,-3.25049918051171,-0.22602018062545,-0.71236414329545,-0.104630001767021,-0.724983576239488,0.823774245627859,0.71679442958303,-0.261601232536485,0.25031175031847,0.124390702512792,0.0781728508535539,0.189133858307425,-0.0300664898571047,0.0396735692722816,0.00803190450771307,-0.0546747877578456,0.0243818480173784,0.00559664907660644,0.0578493044436019,-0.0819139004936993,8.49320613838245e-15
"X1DA3",8.20498205246012,0.22646600806501,0.149444577549992,-1.09999543091723,0.0451424513800071,1.19150922560429,0.232862812716841,-0.0976095491457137,0.154874167482448,-0.621631473556788,-0.0417269792853189,-0.437521852442872,-0.102557082738085,0.0467019114931152,-0.704722667979522,-0.221913063088989,-0.408643246142283,-0.0717795790939738,-0.0637796100493194,0.0532326181412656,0.246144032246361,-0.214754445029193,0.309845809811597,8.52096171399808e-15
"X3DA1",8.53332553737344,0.624356250753253,1.54055026365011,0.995859416252608,0.0158745434285205,-0.887277029250308,0.149156469474639,0.0508661764353976,-0.202516211261169,-0.273274313710541,0.530144630697649,0.444779998741749,1.15573204505502,-0.153769426581021,-0.491578431739706,-0.628647023865637,-0.168050004077264,0.0413394821475417,-0.0890408573259491,0.00715066355646915,-0.0193953905975868,0.0931811029701992,-0.0891329641641216,8.39606162372775e-15
"X3DA2",8.19628968879945,0.48374374699647,0.618241988271964,0.193403524988221,0.0123489525991586,-0.775581480074403,0.224918685116949,0.0659166614379637,0.0417647439940792,-0.961308353352697,-0.240422249838388,-0.347936871730366,0.594372493192162,0.510610444361088,0.570392919918186,0.677951734666109,0.0802347275228864,0.00209437710013877,0.198572958713848,-0.168750992429663,-0.219601451734708,-0.0927845790268691,0.200518744420127,8.13238365537927e-15
"X3DA3",7.95075401330041,0.24594567375587,-0.23055958035812,0.194148339274284,0.0567473296376148,1.05016738369511,0.206719203149863,0.0175181579801339,0.193113736216717,-0.615921059086502,-0.330736878982717,-0.639147379236817,-0.141688052699464,0.210981876879826,0.00437588991170723,0.170246627558714,-0.446434195619899,-0.0263689396579136,-0.0933362337004573,0.0999246972711713,-0.12958368309054,0.32754846777843,-0.391688813952723,8.1601392309949e-15
"X7DA1",8.20365756988687,0.5105450925455,1.45695486390271,1.48592180975004,-0.117965827250476,-1.60843478207547,-0.134388176168443,-0.262725331588219,0.157130501536995,0.264522290189784,-0.280895076577064,-0.37716331061469,-1.26483893559493,-0.115403439927782,-0.323210961420048,-0.0445355027755454,-0.0816609183318237,-0.0202714669080737,-0.0201596836423609,-0.0121120842360736,-0.0408977980019243,0.0419334616106098,0.0631157655102339,8.57647286522933e-15
"X7DA2",8.31790065783067,0.683250927921115,1.52342130476647,1.15882594264868,0.0114363758837954,0.601803642196,-0.138702823475687,0.0826881451857832,-0.0958825614249114,0.41121284748789,0.0766011755013896,0.24975613927717,0.0622189860242928,0.0828880560071724,0.503491900226564,0.402020217470388,0.182659095581577,-0.0910270502878573,-0.0374049921822895,0.274265102897943,0.532946262062869,-0.225542573625063,-0.121571455648895,7.99360577730113e-15
"X7DA3",8.02916798061446,0.343230574454784,1.04767502485705,0.938722970008548,-0.0447895928019551,1.83454735347482,-0.325029931638294,-0.185194793393568,0.165565598890005,1.00914381769113,0.0878483603050485,0.310936170652496,-0.000400221021303715,-0.123151369534896,0.140328093947663,-0.0869671284717585,0.107155043680239,0.0639953598562384,0.0897538400089115,-0.215120437219192,-0.39251270055678,0.0913643045025108,0.162529115274137,8.46545056276682e-15
