"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"10.924/1247.67359426887",0.107852885559529,0.0554629988580218,0.0105699150071093,-0.118782507455494,0.0206433173556285,0.0118529455411557,0.0588457969864509,0.140405718400185,-0.103017895738627,-0.0976214091913305,0.066917825740557,0.0351720044341581,0.0846186622239271,-0.0887353444648253,0.115973691769479,0.0210783074081399,0.0691919523026114,0.00854591180078176,-0.0944235685385147,0.229442422639511,0.0855928935969016,0.607941175446074,0.395503241599583,-0.0700845096826785
"10.987/1249.78918697064",-0.0926426764360517,-0.0418190382304058,0.0238406224521929,-0.00608456926631891,0.00534136122516023,-0.00423606007657469,-0.0101327825904008,0.0263591957798621,0.0514562242317382,-0.0606389913265156,0.015257505098957,0.0375722755220059,-0.0271685923885561,-0.0546384960020445,0.108884822588652,-0.0864482456210508,-0.018584262194728,-0.0602906451397912,-0.0960599060521693,-0.0883213180053253,0.0305732216789291,-0.0344610549369465,0.00185366746821997,-0.203540064169448
"11.073/1252.67713891273",-0.0974465406065897,-0.089149513761807,0.0394101684105155,-0.00638890467990292,0.0629854984938256,-0.00489671317688862,-0.0315263935813736,0.0435367109730933,0.0620245105425703,-0.0800707766453488,-0.0388827698418487,0.0868095080340661,-0.0212685829338984,-0.0992256663124959,0.0793205026252094,-0.0448516038992477,-0.0246725207085033,-0.088398885985094,-0.0936386278703104,-0.0665482561724279,0.0137582337547573,-0.0315865556440117,0.000241839131034067,-0.0446504495039432
"11.503/1267.11689862319",-0.0876667809272825,-0.0288930930881328,0.0175088881725657,-0.00769086653172749,0.00086482838423441,-0.00669647959878125,0.0192732874211977,0.0190942417291579,0.0108293456205184,0.0072963939952542,0.00658366996452704,-0.0175812331868058,0.0113285664386002,-0.00256326627143689,-0.00225299355023443,-0.0143074113721783,0.0364187970555686,0.0272585198029272,0.00499922116772355,-0.0181705400032059,0.0439240781505766,0.0200309653064757,-0.00710057265858061,-0.267089333330413
"11.912/1280.85146076639",-0.230413101286842,-0.103632269929141,0.0453402088379082,-9.11357571029386e-05,-0.0406966063469967,-0.00774353459949484,-0.0561980473261777,-0.0870324568963715,0.0117764866642283,-0.0656068256367583,-0.0608620669355495,-0.0388340147677418,-0.0449471616088157,0.0639010570309198,0.04202084293882,0.0130401542651315,0.170809011216579,0.0304144479573938,0.0633882816415785,-0.0426467398043281,-0.030396777262418,0.153937495348699,0.022740143338475,0.11506742470827
"13.327/1327.1729807005",-0.123897010606563,0.0467427427172507,0.00855770113092467,-0.0164185367996829,0.0388331227274824,-0.0295863923238835,0.180737568511605,0.0754396103197961,-0.0821493650880725,0.211834908008005,-0.146096722822453,-0.298028809432679,0.140839890947372,-0.0979518890146118,0.0813039965055228,-0.182346777555603,0.00216772815067006,0.0256336502506915,0.269173256328521,0.089135984949911,0.0890042141637966,-0.0252925548935532,0.0449793043032483,0.0836029801376076
"14.185/1354.77126518942",0.0110602771543409,0.0128733762044996,0.106019258758214,0.159368738383038,-0.0166091153942651,-0.31778665683896,-0.0323544822999354,-0.0816787303876982,0.0515536427827775,0.0945324807046628,-0.11331630940497,-0.188876186712964,-0.658982091602758,-0.0696165763781245,-0.23937572136638,-0.0363136031649679,-0.077188309818481,-0.0282738617346628,-0.033985733953358,-0.0287814534424289,-0.10828056420406,0.127267150795996,0.305430103284357,-0.0310649565025518
"15.299/1390.60400285919",-0.0998087590219275,-0.0431664470659291,0.0354613948145554,-0.015447345945033,-0.029807946774919,-0.021364560505012,0.240317180797039,0.156296736930167,0.0943791507530936,0.0529618658789741,0.0989322752052559,0.0172771002434065,-0.0395276829938081,-0.135357120262596,0.166904577135236,-0.0328233107962839,-0.211741533683765,-0.122788525037709,-0.0022045243004819,0.00946009642494168,-0.0749133764329984,-0.115796930937325,0.0432771442355376,0.0332812143591943
"15.314/1391.08649035025",0.118920365047739,0.0523596300470888,-0.0914027000001497,0.0276827752476306,0.0354059480403005,-0.250374045620075,0.0891497545528676,0.148778117720734,-0.126086532427736,-0.228520042091529,0.0447169626148815,-0.0633601207486278,0.0417442583346066,-0.0113428244095371,-0.0180742992318532,0.0574308782541951,-0.103426776255135,-0.0422056563047817,-0.0545355231406223,0.1319351896089,0.192122911775344,-0.0426491622805796,-0.137933657292014,-0.0231453875509266
"16.191/1419.68598681524",-0.109725125336877,-0.0998832145335514,0.0439492670599794,-0.0152288456949775,0.0112560773904313,-0.0210777669133475,0.178624746582963,0.0877867604773637,0.0147013525387439,0.12687159977857,0.121975697943983,-0.17977886034506,0.0518862552352003,-0.0298581178946418,0.00390068183939211,0.0540485374092059,0.0561257926720179,-0.18757252460513,-0.202332838692383,-0.284651627415334,0.116017990346446,0.0655731270965622,-0.0122369878853284,-0.138727856064079
"16.259/1421.91747856018",-0.125022912947527,0.0262948077145376,0.0047785747859825,-0.0244002429520175,-0.0836147513138723,-0.027767309162062,0.182435990318866,0.102810723497853,0.044057002179063,0.195691298930223,0.27046600381638,-0.157581547862755,0.0665367839531186,0.0406591535174129,-0.265882260446069,0.351640150882413,0.0954719295558042,-0.0330702165887204,-0.106645361808988,-0.00485899078444348,-0.0277738729454875,0.100983446929653,-0.0259653020162511,-0.0327022667531841
"16.602/1433.17338545009",-0.0990997347104914,0.038747500695701,0.00161529559670948,-0.00848080451853911,-0.0511388985623307,-0.00740590692253961,0.0290222792896033,0.0456010053843236,0.0341110343065796,-0.00544481372788188,-0.0283316288042115,0.0296342789167635,0.00553994499792292,-0.0555749617804715,0.0234227292531063,-0.0390372363687857,-0.00540160112553361,-0.155894177125533,0.0497968270931008,-0.0119833191302591,0.00898164800723365,-0.00489200566242962,-0.000270994060671114,-0.00537262342848498
"16.724/1437.17694416895",-0.0923346451982759,-0.0253339385335383,0.0183479647656022,-0.00924260254397569,-0.0668529383747829,-0.00325976795229772,0.0949811336229562,0.0494075176321976,0.0398252491815864,-0.0164373199389732,0.032869031380156,0.138330486834754,-0.0380038796401435,-0.00272792227965903,-0.0586034004098394,0.095142919294763,-0.0329672069639792,-0.101490260302434,0.0515117027291356,-0.06171180210745,0.0221204047984644,0.0596872955580385,-0.0227206586013518,-0.226600310484732
"16.908/1443.21509830232",-0.127293745842406,-0.2176308629084,0.0767011993882067,-0.0211620165343656,0.122755815469327,-0.00758447027197406,0.141803804830803,-0.211936261498141,-0.148659296920718,-0.0311581035435456,0.186830092681488,0.00718426153058597,-0.0499478369729592,-0.122793462725751,0.126385010651145,0.0927459464189459,-0.129858827278095,0.154270299855562,-0.0680384308078169,-0.159969801971664,0.0989821684310797,0.0531439915199485,-0.0135009574092027,0.0837907465558403
"17.155/1451.32066390526",0.052176363620024,0.321763067434099,0.167573884460369,0.0595731166948042,0.117571221100574,0.134071043611939,0.336083384478529,-0.0390553408086675,0.0985923614611152,-0.349755948580086,-0.0604445837382135,0.0612461510535576,-0.114366379521343,0.0204052008754079,0.156975727353113,-0.145456878828529,0.0592424785845132,-0.0635434552118579,-0.217546310381685,0.0993850292749063,-0.00452389634697368,0.00845484832844006,0.0860851240440277,0.115278283524982
"17.292/1455.81646345021",-0.107296980396756,-0.0639415705167023,0.0433167674491643,-0.0257857429717337,0.268594548132521,0.00506402982680322,0.167848340516238,-0.303067329380931,-0.28170666128513,-0.00942590882260614,-0.0114755024712104,0.0905060765441437,-0.0545986931140725,0.102503636973259,-0.00154187208199194,-0.030471194895486,0.0800403959519356,-0.224986039147433,0.0589981521131407,0.252288695565832,-0.194296137798713,-0.0397254068715734,-0.0459682851818345,-0.18337562321978
