"","PC1","PC2","PC3","pc1.change","pc2.change"
"18.959/1510.7521008806",-0.141494503063568,-0.131477271409426,0.0705960234549531,"DOWN","DOWN"
"19.858/1540.90225275726",0.093262730479317,0.0453570196085627,-0.0119447314527004,"UP","none"
"20.097/1548.91769914048",-0.124100879071664,0.000383540916951528,0.026694830886205,"DOWN","none"
"20.544/1563.9089314974",-0.104358569749075,-0.0285317208048529,0.0317717413285151,"DOWN","none"
"20.574/1564.91505447437",-0.108712595532228,0.0900259385521481,-0.0134250721978857,"DOWN","UP"
"20.758/1571.08594206648",-0.115646454330164,0.0815258649313553,-0.00291206245084802,"DOWN","none"
"20.954/1577.65927884938",0.0941440739500948,0.0475330132239895,0.0127325737878194,"UP","none"
"20.982/1578.59832696122",-0.100645502272279,0.0304510514853526,0.00647756036420785,"DOWN","none"
"21.413/1593.05296039708",-0.0907684011000509,0.258142614075514,-0.0511375022287894,"DOWN","UP"
"21.633/1600.45331372332",-0.117171919793285,0.0552261435245127,-0.0135544039323822,"DOWN","none"
"21.645/1600.87640653175",0.0937969652049919,0.0475139149954824,0.0182424914713623,"UP","none"
"22.124/1617.7648611349",-0.113217878024143,0.111285706172445,-0.0156553147824261,"DOWN","UP"
"22.135/1618.15269620929",0.114685344865856,0.0738899404783914,0.200190431755175,"UP","none"
"22.263/1622.66568616587",-0.102222367437386,0.00111698663759539,0.0033428219890768,"DOWN","none"
"22.437/1628.8005318881",-0.090742933911657,-0.0237420039684361,0.0147141673971425,"DOWN","none"
"22.813/1642.05743988556",-0.109095925775797,0.0659040721451391,-0.00284993214070935,"DOWN","none"
"23.324/1660.07414197786",0.104452366591112,0.0337751203345145,-0.209077832507973,"UP","none"
"23.476/1665.4333175513",-0.059485779168278,0.268577862180818,-0.072898267879112,"none","UP"
"23.646/1671.42713233739",-0.0956465340668725,0.0163596261147988,-0.00174414257626874,"DOWN","none"
"23.746/1674.95290574097",-0.0783560874875861,0.202122616892207,-0.0332363500353533,"none","UP"
"23.877/1679.57166889966",-0.103022842573122,-0.0999527767087577,0.0325841999830397,"DOWN","DOWN"
"24.102/1687.50465905771",-0.0957610977103153,0.0216328020136518,0.00163798693274079,"DOWN","none"
"24.278/1693.71002024801",0.102959720673039,0.0494064893651062,-0.0720529096626862,"UP","none"
"24.301/1694.52094813084",-0.0670265102823149,0.312206209362497,-0.0932082913533569,"none","UP"
"24.399/1697.97620606634",-0.121750107190461,0.145160091125985,-0.0253223920635429,"DOWN","UP"
"24.495/1701.40537391684",-0.1052061849912,0.0325345669241201,0.00767160030044191,"DOWN","none"
"24.592/1704.9370130343",-0.0858348506569832,0.222877392577925,-0.0353061129524736,"none","UP"
"25.163/1725.72635258137",-0.110622604916696,0.0614739713801489,-0.00783666408783844,"DOWN","none"
"25.273/1729.73130415787",-0.109936750971959,0.0753276059458152,-0.0161501730701897,"DOWN","none"
"25.295/1730.53229447317",-0.107510199263605,0.0347405379723483,0.00769824929624438,"DOWN","none"
"25.922/1753.36051845919",-0.0985596023258473,-0.02830709699296,0.0209018183872937,"DOWN","none"
"26.436/1771.85611301245",-0.0877220097280197,0.252319309956991,-0.0512886931826651,"none","UP"
"26.581/1777.35381926746",-0.132067545535674,0.133447601486926,-0.00945411624758219,"DOWN","UP"
"27.667/1817.692366354",-0.121664832537724,0.0822850664389879,0.00400095445403011,"DOWN","none"
"28.086/1833.66887821246",-0.0964585806229685,-0.0454060086319517,0.0272528564643999,"DOWN","none"
"28.435/1846.97628307786",-0.0961824291670204,0.020662409831485,6.12143895175654e-05,"DOWN","none"
"30.206/1915.20019180053",-0.062520013452061,0.267357760822744,-0.0736911563742269,"none","UP"
"32.534/2008.66234531526",-0.156951281356052,0.0670136131652635,0.286998666072554,"DOWN","none"
"34.508/2091.7501473188",0.164552326977367,0.124329130545536,0.467727489811677,"UP","UP"
