,DPD0R1,DPD0R2,DPD0R3,DPD1R1,DPD1R2,DPD1R3,DPD3R1,DPD3R2,DPD3R3,DPD7R1,DPD7R2,DPD7R3,DAD0R1,DAD0R2,DAD0R3,DAD1R1,DAD1R2,DAD1R3,DAD3R1,DAD3R2,DAD3R3,DAD7R1,DAD7R2,DAD7R3
22.813/1642.05743988556,1985930,1622157,1880685,2793948,2441280,2377546,3092483,2502260,2928194,3333551,2851864,3303068,0,0,0,0,0,0,0,0,0,0,0,0
23.324/1660.07414197786,0,0,0,0,0,0,0,0,0,0,0,0,558822,443269,714277,389709,590330,259651,235912,466863,270143,276952,277296,359501
23.476/1665.4333175513,0,0,0,0,0,0,819283,565697,542551,949701,596731,853221,0,0,0,0,0,0,0,0,0,0,0,0
23.492/1665.99744129587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265347,456885,211923,0,0,0,0,0,0
23.646/1671.42713233739,1554205,1426317,1303831,1796263,1323922,1289141,1765162,1621966,1535034,2054296,1418722,2013684,0,0,0,0,0,0,0,0,0,0,0,0
23.746/1674.95290574097,0,0,0,1255089,1153286,1304985,1314335,1201600,1046514,1524171,1098025,1652030,0,0,0,0,0,0,0,0,0,0,0,0
23.877/1679.57166889966,1107281,1015455,978997,1069972,838915,867414,972466,775496,623590,1043549,589229,867270,0,0,0,0,0,0,0,0,0,0,0,0
24.102/1687.50465905771,2940139,2531079,2589545,3170176,2854732,2932029,3543534,2999218,2757972,3644945,3272523,3769231,0,0,0,0,0,0,0,0,0,0,0,0
24.278/1693.71002024801,0,0,0,0,0,0,0,0,0,0,0,0,362317,226119,469470,195609,265072,264640,287508,324244,312619,288249,306041,244209
24.301/1694.52094813084,0,0,0,0,0,0,450000,450000,300000,650000,600000,821387,0,0,0,0,0,0,0,0,0,0,0,0
24.399/1697.97620606634,300000,350000,250000,704883,260496,775592,878958,632894,415227,1002870,885459,960263,0,0,0,0,0,0,0,0,0,0,0,0
24.495/1701.40537391684,3479694,2659661,2894225,4600044,3856339,3816491,4755038,3811532,3793364,4677674,4132821,4233912,0,0,0,0,0,0,0,0,0,0,0,0
24.592/1704.9370130343,0,0,0,927423,1096370,1041791,1000687,1169032,742760,1297163,1461055,1215001,0,0,0,0,0,0,0,0,0,0,0,0
25.163/1725.72635258137,951536,536430,520405,975938,807867,1008495,786785,823972,631484,1210186,1400957,1395138,0,0,0,0,0,0,0,0,0,0,0,0
25.273/1729.73130415787,830000,715000,635000,1100000,980000,1113000,1200000,990000,1180000,1050000,1170000,1939213,0,0,0,0,0,0,0,0,0,0,0,0
25.295/1730.53229447317,1240000,1050000,945000,1600000,1400000,1669500,1850000,1480000,1700000,1500000,1750000,1429169,0,0,0,0,0,0,0,0,0,0,0,0
25.922/1753.36051845919,4270284,3364937,3102334,4743495,4680112,4853861,4824822,3957108,4549598,3605456,3318604,4019941,0,0,0,0,0,0,0,0,0,0,0,0
26.436/1771.85611301245,0,0,0,288502,481319,400000,535410,300000,444689,472953,518328,833786,0,0,0,0,0,0,0,0,0,0,0,0
26.581/1777.35381926746,550615,650000,786860,1989596,1757931,2195395,1782106,1846077,2262328,2061565,2033929,2285935,0,0,0,0,0,0,0,0,0,0,0,0
27.512/1811.78220086937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95200,0,0,0,0,0,0,0
27.667/1817.692366354,1076203,832026,1203669,1959412,1804868,2262710,2123137,1964055,1985132,2352617,2150747,2013324,0,0,0,0,0,0,0,0,0,0,0,0
28.086/1833.66887821246,1469047,1003242,1329883,1294792,1359848,1138044,1462066,1238504,1178937,1380303,1204335,1099615,0,0,0,0,0,0,0,0,0,0,0,0
28.435/1846.97628307786,2255927,1776884,1807824,1982645,1730232,1883394,2538636,2197900,2086260,2703424,2261408,2485661,0,0,0,0,0,0,0,0,0,0,0,0
30.206/1915.20019180053,0,0,0,0,0,0,642319,714578,641539,760023,437381,666250,0,0,0,0,0,0,0,0,0,0,0,0
32.534/2008.66234531526,1369901,1370576,1433480,1936795,2364844,2410046,2485173,2617595,2948975,3163451,3499883,3046784,0,0,0,267596,0,176352,233244,290758,176758,207849,603141,364792
34.508/2091.7501473188,0,0,0,0,0,0,0,0,0,0,0,0,74368,64377,650000,568769,1073431,1221559,870570,883828,794791,1211901,1066342,923768
